,beta,cross_return_excess
port_1,1.0103199177121536,0.0016366264275696253
port_2,1.0443187894401027,0.002487888221829597
port_3,1.0675290902839765,0.0024906247033317968
port_4,1.0775822004887268,0.003529660050835977
port_5,1.1667047031790487,0.0034433762161869587
port_6,1.181153073937032,0.002995229197704622
port_7,1.2306664352406833,0.002888718720514117
port_8,1.2487880993161709,0.002934785725357339
port_9,1.2367247935554562,0.002030235876780629
port_10,1.309439540217113,0.0027126458199313035
